aevo_bid,aevo_ask,hl_bid,hl_ask
0.4285,0.4296,-1.0,-1.0
0.4286,0.4296,-1.0,-1.0
0.4286,0.4296,0.42961,0.42992
0.4285,0.4296,0.42961,0.42992
0.4285,0.4296,0.42961,0.42992
0.4285,0.4297,0.42961,0.42992
0.4286,0.4297,0.42961,0.42992
0.4284,0.4297,0.42961,0.42992
0.4286,0.4297,0.42961,0.42992
0.4286,0.4297,0.42966,0.42992
0.4286,0.4297,0.42966,0.42992
0.4286,0.4297,0.42966,0.42992
0.4285,0.4297,0.42966,0.42992
0.4286,0.4297,0.42966,0.42992
0.4286,0.4297,0.42966,0.42992
0.4286,0.4297,0.42966,0.42992
0.4284,0.4298,0.42966,0.42992
0.4282,0.4296,0.42966,0.42992
0.4283,0.4298,0.42966,0.42992
0.4283,0.4297,0.42966,0.42992
0.4283,0.4297,0.4295,0.42974
0.4283,0.4297,0.42957,0.42974
0.4283,0.4296,0.42957,0.42974
0.4283,0.4296,0.42957,0.42982
0.4283,0.4291,0.42957,0.42982
0.428,0.4291,0.42957,0.42982
0.4282,0.4291,0.42957,0.42982
0.4282,0.4291,0.42957,0.42963
0.4282,0.4291,0.42909,0.42963
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42974
0.4282,0.4291,0.42947,0.42974
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4291,0.42947,0.42953
0.4282,0.4292,0.42947,0.42953
0.4282,0.4294,0.42947,0.42953
0.4282,0.4294,0.42947,0.42953
0.4282,0.4295,0.42947,0.42953
0.4282,0.4294,0.42947,0.42953
0.4282,0.4294,0.42947,0.42974
0.4282,0.4294,0.42917,0.42974
0.4282,0.4294,0.42961,0.42974
0.4282,0.4295,0.42961,0.42974
0.4282,0.4295,0.42961,0.42982
0.4283,0.4295,0.42961,0.42982
0.4283,0.4295,0.42961,0.42982
0.4283,0.4295,0.42961,0.42982
0.4279,0.4294,0.42961,0.42982
0.4282,0.4294,0.42961,0.42982
0.4282,0.4294,0.42961,0.42982
0.4282,0.4294,0.42961,0.42982
0.4282,0.4294,0.42961,0.42982
0.4282,0.4294,0.42961,0.42982
0.428,0.4294,0.42961,0.42982
0.4283,0.4294,0.42961,0.42982
0.4283,0.4294,0.42961,0.42982
0.4283,0.4294,0.42961,0.42974
0.4283,0.4294,0.42973,0.42974
0.4281,0.4294,0.42973,0.42974
0.4284,0.4294,0.42973,0.42974
0.4284,0.4294,0.42973,0.42974
0.4284,0.4297,0.42973,0.42974
0.4282,0.4298,0.42973,0.42974
0.4282,0.4296,0.42973,0.42974
0.4285,0.4296,0.42973,0.42974
0.4285,0.4296,0.42973,0.42982
0.4285,0.4295,0.42973,0.42982
0.4285,0.4295,0.42973,0.42983
0.4285,0.4295,0.42973,0.42983
0.4285,0.4295,0.4295,0.43013
0.4284,0.4298,0.4295,0.43013
0.4284,0.4298,0.4295,0.43013
0.4287,0.4298,0.4295,0.43013
0.4287,0.4298,0.4295,0.43013
0.4287,0.43,0.4295,0.43013
0.4287,0.43,0.4295,0.43013
0.4287,0.4299,0.4295,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.42988,0.43013
0.4287,0.4299,0.4297,0.43013
0.4287,0.4299,0.43009,0.43013
0.4284,0.43,0.43009,0.43013
0.4288,0.43,0.43009,0.43013
0.4288,0.43,0.4301,0.43013
0.4288,0.43,0.4301,0.43022
0.4288,0.43,0.4301,0.43022
0.4282,0.4302,0.4301,0.43022
0.4286,0.4302,0.4301,0.43022
0.4286,0.4301,0.4301,0.43022
0.4289,0.4301,0.4301,0.43022
0.4289,0.4301,0.43019,0.43022
0.429,0.4301,0.43019,0.43022
0.429,0.4302,0.43019,0.43022
0.429,0.4302,0.43019,0.4304
0.429,0.4302,0.43019,0.43041
0.4291,0.4302,0.43019,0.43041
0.4291,0.4302,0.43029,0.43043
0.4291,0.4302,0.43029,0.43043
0.4291,0.4302,0.43029,0.43043
0.4291,0.4302,0.43029,0.43043
0.4291,0.4302,0.43029,0.43043
0.429,0.4303,0.43029,0.43043
0.4287,0.43,0.43029,0.43043
0.4289,0.43,0.43029,0.43043
0.4289,0.43,0.4301,0.43043
0.4289,0.4301,0.4301,0.43043
0.4289,0.4301,0.43024,0.43035
0.4289,0.43,0.43024,0.43035
